family,rate,system,label,seed,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,102,654.515,676.027,563.841,599.582,620.059,509.08,626.536,647.68,535.862,207.303,392.132,503.612,732.233,0.868917,0.914387,0.777146,0.798579,0.842274,0.707164,0.824038,0.869272,0.732268,0.64476,0.877442,0.945885,0.385353,30.4515,16.9034,157.509,16.8184,5.59317,192.671
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,103,646.081,661.783,554.839,595.808,609.209,507.557,616.409,630.918,525.251,218.082,416.619,530.877,720.184,0.870377,0.903723,0.764197,0.795913,0.828131,0.691237,0.825248,0.858092,0.719318,0.650244,0.883791,0.952614,0.369746,24.3123,9.41049,270.64,15.3544,4.57917,173.113
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,104,770.168,790.828,640.941,707.729,727.672,586.987,729.477,749.625,605.182,209.336,425.875,559.433,853.608,0.871957,0.913886,0.747182,0.782687,0.824166,0.660505,0.811204,0.852908,0.687331,0.639089,0.877029,0.940261,0.416913,24.6514,13.2969,275.156,17.6733,5.48753,202.64
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,105,723.438,756.658,606.37,659.598,690.884,546.353,686.217,717.983,570.01,216.967,418.726,551.128,820.362,0.854501,0.899671,0.757254,0.772452,0.816027,0.676905,0.802848,0.84738,0.706239,0.637687,0.868955,0.942927,0.396429,26.9575,14.9665,190.862,17.9873,5.98083,216.163
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,106,809.277,858.789,595.553,733.176,777.294,521.182,760.492,805.767,547.278,155.448,358.848,510.377,934.872,0.840654,0.907808,0.664121,0.768831,0.831318,0.593571,0.795565,0.859962,0.619669,0.555273,0.823679,0.919796,0.445771,33.7316,20.534,154.088,23.3232,7.88262,283.461
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,107,640.936,656.442,567.528,598.917,612.978,528.684,618.96,634.034,547.121,199.786,391.896,504.221,689.442,0.874853,0.914394,0.770455,0.806734,0.844186,0.70351,0.837009,0.876028,0.732872,0.65627,0.895341,0.959415,0.344276,27.5447,11.401,190.925,14.4393,5.14879,165.947
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,108,776.588,797.768,678.434,710.065,729.797,620.762,732.802,753.437,640.788,205.679,427.874,577.2,848.228,0.849135,0.894327,0.744804,0.774574,0.818292,0.671584,0.803674,0.84833,0.699745,0.601582,0.854901,0.944079,0.417422,34.9986,12.3473,220.339,18.8335,6.58081,229.148
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,109,814.867,845.715,741.677,745.275,771.657,677.79,769.057,797.333,699.58,237.467,478.706,631.13,909.308,0.856559,0.888107,0.79074,0.768611,0.798003,0.70404,0.796527,0.827281,0.731276,0.634135,0.873468,0.945415,0.400449,26.6962,11.3552,217.086,17.8486,5.97856,214.94
claude,0.02,hbf_tp4x2,GPU+HBF hybrid,110,751.14,769.33,664.086,687.113,702.258,607.346,717.444,733.299,637.257,198.492,406.496,554.248,824.574,0.870897,0.911165,0.783893,0.799268,0.834655,0.714338,0.830872,0.866992,0.745699,0.642099,0.870287,0.948871,0.421247,39.213,13.4043,147.336,16.1677,5.35986,179.588
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,101,683.253,683.259,588.648,658.246,658.252,578.533,670.096,670.102,584.52,181.559,363.579,493.141,752.504,0.870452,0.872531,0.712708,0.828612,0.830561,0.696985,0.846284,0.848363,0.704132,0.610187,0.85499,0.949194,0.403498,42.9855,21.1781,77.4419,17.7533,6.74765,212.621
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,102,675.232,675.245,565.115,627.177,627.188,532.755,650.25,650.262,550.483,193.326,373.485,490.349,735.85,0.90587,0.909413,0.740286,0.853785,0.856856,0.711586,0.873036,0.876462,0.721861,0.634109,0.85851,0.946971,0.413391,46.6155,21.9763,83.5136,17.2456,6.14945,180.266
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,103,657.406,657.41,573.016,631.712,631.715,557.968,647.761,647.765,567.651,223.177,412.722,533.893,724.606,0.897423,0.898674,0.740555,0.858769,0.859895,0.722042,0.879785,0.880911,0.731549,0.660746,0.878659,0.96022,0.381686,47.9236,13.6631,79.4873,15.0561,4.82023,172.463
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,104,773.917,773.922,663.66,742.761,742.765,645.734,754.826,754.83,653.396,183.169,383.896,532.459,850.804,0.912812,0.914172,0.74127,0.862472,0.863605,0.715533,0.878798,0.880045,0.72449,0.629138,0.847959,0.942517,0.411857,47.3505,20.8552,83.4337,17.8135,6.12547,199.553
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,105,736.819,768.723,631.525,702.483,729.327,610.923,723.25,753.556,622.18,199.96,396.913,545.607,830.935,0.855557,0.916993,0.720947,0.813894,0.866025,0.695992,0.836312,0.894681,0.708787,0.628212,0.85249,0.942371,0.394203,35.2669,23.6429,129.803,18.9411,6.2475,213.869
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,106,853.708,853.719,701.309,804.726,804.736,676.567,821.74,821.75,686.157,136.607,337.404,501.937,951.903,0.908097,0.910515,0.714616,0.857834,0.860147,0.692534,0.877287,0.879706,0.701262,0.555415,0.828496,0.926709,0.474138,42.7239,34.8756,87.9002,22.4874,8.17359,244.872
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,107,631.931,631.932,605.583,609.467,609.468,584.822,619.175,619.175,593.795,197.554,393.099,508.156,693.328,0.876871,0.877001,0.79331,0.838475,0.838605,0.76064,0.849538,0.849668,0.769231,0.668359,0.896134,0.967591,0.362363,32.8117,19.4788,55.4312,13.5058,5.41246,134.941
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,108,783.28,783.736,698.616,739.591,739.988,674.427,756.314,756.716,685.885,195.184,419.397,562.781,852.194,0.882754,0.887834,0.733957,0.818583,0.821658,0.699866,0.840508,0.84385,0.712166,0.60107,0.863904,0.949733,0.442248,30.9551,16.8768,89.6566,18.3615,7.09295,208.759
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,109,822.421,822.427,731.449,769.085,769.091,705.102,789.281,789.288,716.938,210.214,435.05,604.179,908.025,0.879717,0.881655,0.739254,0.821685,0.823509,0.718732,0.844031,0.845856,0.728195,0.601528,0.841067,0.947326,0.424749,45.4796,16.6139,84.497,18.4535,6.70967,195.001
claude,0.02,oracle_infinite_hbm,Infinite-HBM oracle,110,745.961,745.967,664.863,706.275,706.281,637.092,731.084,731.089,657.323,186.814,392.78,535.236,812.616,0.897066,0.899038,0.763437,0.852687,0.85429,0.740631,0.874877,0.876479,0.755671,0.647806,0.859098,0.950567,0.466615,39.7224,15.4978,79.3038,16.0452,5.39866,169.447
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,101,586.519,586.519,586.519,441.78,441.78,441.78,493.899,493.899,493.899,145.321,376.666,596.793,1008.37,0.593593,0.593593,0.593593,0.441833,0.441833,0.441833,0.497603,0.497603,0.497603,0.414825,0.717994,0.87443,5.21499,183.965,19.7139,28.705,31.1653,14.1826,231.78
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,102,593.925,593.925,593.925,399.881,399.881,399.881,468.913,468.913,468.913,164.099,385.698,573.183,995.888,0.669095,0.669095,0.669095,0.491606,0.491606,0.491606,0.563932,0.563932,0.563932,0.48601,0.751557,0.883011,3.2491,201.069,19.9656,29.0755,29.1497,10.6024,230.315
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,103,572.62,572.62,572.62,456.516,456.516,456.516,498.677,498.677,498.677,171.673,409.232,623.244,968.846,0.619854,0.619854,0.619854,0.489961,0.489961,0.489961,0.534717,0.534717,0.534717,0.455861,0.731239,0.894335,3.53534,151.47,19.4943,30.3064,26.9209,12.0593,187.354
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,104,576.381,576.381,576.381,408.204,408.204,408.204,468.506,468.506,468.506,132.171,348.532,541.618,998.111,0.629438,0.629438,0.629438,0.461795,0.461795,0.461795,0.522578,0.522578,0.522578,0.447547,0.73331,0.870964,4.3182,233.36,20.7301,30.9798,31.0993,12.5458,265.526
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,105,577.683,577.683,577.683,394.035,394.035,394.035,477.167,477.167,477.167,131.83,354.892,563.557,1005.73,0.614569,0.614569,0.614569,0.442689,0.442689,0.442689,0.513943,0.513943,0.513943,0.424875,0.708514,0.870109,4.54641,195.915,20.7446,30.091,31.0168,13.3471,228.769
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,106,438.315,438.315,438.315,242.089,242.089,242.089,318.95,318.95,318.95,98.1326,273.421,494.13,1074.07,0.537695,0.537695,0.537695,0.36433,0.36433,0.36433,0.439614,0.439614,0.439614,0.3884,0.652105,0.836709,8.03157,232.27,21.199,30.5406,36.4368,16.8128,291.844
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,107,562.225,562.225,562.225,435.158,435.158,435.158,483.565,483.565,483.565,177.42,422.498,594.953,864.017,0.664668,0.664668,0.664668,0.502279,0.502279,0.502279,0.563325,0.563325,0.563325,0.492804,0.78652,0.904174,3.05208,163.329,17.9964,27.9081,24.32,10.301,191.471
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,108,622.957,622.957,622.957,456.006,456.006,456.006,516.742,516.742,516.742,125.579,352.705,595.163,1087.15,0.586835,0.586835,0.586835,0.440064,0.440064,0.440064,0.494484,0.494484,0.494484,0.377464,0.686872,0.862402,5.41394,169.634,19.9939,27.973,32.379,16.1531,221.519
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,109,617.096,617.096,617.096,418.924,418.924,418.924,495.062,495.062,495.062,136.475,371.329,592.672,1055.21,0.611246,0.611246,0.611246,0.455678,0.455678,0.455678,0.515877,0.515877,0.515877,0.414443,0.707938,0.87839,4.51851,280.504,20.5467,27.4485,31.5238,14.2291,316.294
claude,0.024,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,110,618.709,618.709,618.709,436.375,436.375,436.375,508.238,508.238,508.238,120.92,337.205,551.657,997.151,0.636851,0.636851,0.636851,0.460005,0.460005,0.460005,0.532475,0.532475,0.532475,0.436304,0.720602,0.865314,4.15791,203.873,20.2676,29.9003,32.0301,13.0292,245.015
claude,0.024,hbf_tp4x2,GPU+HBF hybrid,101,860.585,925.778,696.208,785.646,848.827,627.32,820.652,885.662,659.859,204.947,455.419,628.557,1024.52,0.771627,0.843186,0.648482,0.702009,0.771742,0.580461,0.727688,0.799018,0.605227,0.52819,0.813969,0.917713,0.475184,42.2036,17.3389,254.602,23.4266,8.84889,270.26
