family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
codex,0.0005,baseline_cpu_ssd,lt_16k,808,4.897954,0.337571,19.155715,27.828309,6.967168,23.81251
codex,0.0005,hbf_prefill_p4d4,128k_256k,6158,0.636301,0.3967,1.166865,1.911864,2.27901,5.032532
codex,0.0005,hbf_prefill_p4d4,16k_64k,2936,0.285082,0.127466,0.570079,0.888367,1.996375,4.151292
codex,0.0005,hbf_prefill_p4d4,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,hbf_prefill_p4d4,64k_128k,5396,0.418504,0.222476,0.732272,1.260986,1.943972,4.160748
codex,0.0005,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,hbf_prefill_p4d4,lt_16k,808,5.344916,0.460318,20.786469,29.721101,7.402211,25.312353
codex,0.0005,oracle_infinite_hbm,128k_256k,6158,0.62029,0.394838,1.145224,1.847707,2.262091,4.995746
codex,0.0005,oracle_infinite_hbm,16k_64k,2936,0.258791,0.122668,0.509317,0.782656,1.970925,4.192191
codex,0.0005,oracle_infinite_hbm,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,oracle_infinite_hbm,64k_128k,5396,0.41353,0.218782,0.718347,1.231585,1.940254,4.160088
codex,0.0005,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,oracle_infinite_hbm,lt_16k,808,4.897512,0.326731,19.155715,27.850165,6.966662,23.81251
codex,0.001,baseline_cpu_ssd,128k_256k,6716,0.732799,0.413251,1.29116,2.14361,2.270808,5.102636
codex,0.001,baseline_cpu_ssd,16k_64k,2630,0.309162,0.133102,0.58965,0.954816,2.103759,4.615589
codex,0.001,baseline_cpu_ssd,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,baseline_cpu_ssd,64k_128k,5550,0.48625,0.237433,0.829976,1.50803,2.011121,4.417287
codex,0.001,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,baseline_cpu_ssd,lt_16k,743,5.110563,0.469469,19.052403,27.646263,7.193797,22.818166
codex,0.001,hbf_prefill_p4d4,128k_256k,6716,0.755507,0.417648,1.325976,2.228002,2.297788,5.173451
codex,0.001,hbf_prefill_p4d4,16k_64k,2630,0.381234,0.137352,0.711465,1.145307,2.17937,4.695438
codex,0.001,hbf_prefill_p4d4,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,hbf_prefill_p4d4,64k_128k,5550,0.515965,0.240492,0.891011,1.631516,2.040227,4.444005
codex,0.001,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,hbf_prefill_p4d4,lt_16k,743,5.513203,0.557999,20.387118,29.328089,7.607184,24.510523
codex,0.001,oracle_infinite_hbm,128k_256k,6716,0.732079,0.413627,1.293265,2.154317,2.270465,5.117216
codex,0.001,oracle_infinite_hbm,16k_64k,2630,0.313191,0.132839,0.59437,0.963095,2.106847,4.620518
codex,0.001,oracle_infinite_hbm,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,oracle_infinite_hbm,64k_128k,5550,0.488958,0.237518,0.833738,1.473824,2.014659,4.40436
codex,0.001,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,oracle_infinite_hbm,lt_16k,743,5.094114,0.465203,19.105404,27.646263,7.177042,22.818166
codex,0.002,baseline_cpu_ssd,128k_256k,8698,1.069719,0.435518,1.794353,3.404806,2.921862,6.565592
codex,0.002,baseline_cpu_ssd,16k_64k,3976,0.577191,0.140549,0.755192,1.401754,2.488506,5.416822
codex,0.002,baseline_cpu_ssd,256k_512k,1,0.545132,0.545132,0.545132,0.545132,1.224173,1.224173
codex,0.002,baseline_cpu_ssd,64k_128k,7165,0.78356,0.252861,1.192657,2.25414,2.510984,5.426498
codex,0.002,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.002,baseline_cpu_ssd,lt_16k,1089,6.622965,0.850725,24.749944,30.855682,9.038856,29.450651
codex,0.002,hbf_prefill_p4d4,128k_256k,8687,1.141222,0.443367,1.905663,3.643525,3.004682,6.670653
codex,0.002,hbf_prefill_p4d4,16k_64k,3980,0.647717,0.147973,0.857938,1.527899,2.561822,5.490045
codex,0.002,hbf_prefill_p4d4,256k_512k,1,0.546538,0.546538,0.546538,0.546538,1.164566,1.164566
codex,0.002,hbf_prefill_p4d4,64k_128k,7157,0.814337,0.25668,1.258922,2.374387,2.547088,5.502307
codex,0.002,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.002,hbf_prefill_p4d4,lt_16k,1088,7.359005,1.056682,27.000961,33.49368,9.805171,31.273805
codex,0.002,oracle_infinite_hbm,128k_256k,8691,1.060266,0.435879,1.799378,3.348374,2.915461,6.556534
codex,0.002,oracle_infinite_hbm,16k_64k,3982,0.585899,0.140585,0.735047,1.388098,2.498551,5.42737
codex,0.002,oracle_infinite_hbm,256k_512k,1,0.545132,0.545132,0.545132,0.545132,1.163159,1.163159
codex,0.002,oracle_infinite_hbm,64k_128k,7167,0.787917,0.255522,1.199819,2.267979,2.521808,5.420441
codex,0.002,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.002,oracle_infinite_hbm,lt_16k,1090,6.597891,0.762921,24.864821,30.991965,9.025566,29.160454
codex,0.004,baseline_cpu_ssd,128k_256k,19155,1.980414,0.484084,3.50207,10.035999,4.488284,10.906789
codex,0.004,baseline_cpu_ssd,16k_64k,8363,1.317065,0.172398,1.761661,6.326919,3.83431,8.903585
codex,0.004,baseline_cpu_ssd,256k_512k,1,0.744875,0.744875,0.744875,0.744875,2.154189,2.154189
codex,0.004,baseline_cpu_ssd,64k_128k,15265,1.575978,0.296505,2.517254,7.731054,3.992276,9.410538
codex,0.004,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.004,baseline_cpu_ssd,lt_16k,2389,8.951316,2.063178,28.189013,36.728619,12.429322,35.207089
codex,0.004,hbf_prefill_p4d4,128k_256k,19120,2.196333,0.49804,4.253107,11.77534,4.743821,11.532365
