family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
codex,0.0005,hbf_prefill_p4d4,4h_12h,15,6.677058,2.812579,16.915976,19.106844,8.72752,18.403092
codex,0.0005,hbf_prefill_p4d4,5m_30m,364,4.173982,0.792576,14.27306,27.784689,6.407977,18.596018
codex,0.0005,hbf_prefill_p4d4,gt_12h,12,2.897981,1.332907,6.86507,7.866038,5.169849,9.088397
codex,0.0005,hbf_prefill_p4d4,lt_1m,14058,0.546842,0.253454,0.832665,1.557061,2.152162,4.624774
codex,0.0005,oracle_infinite_hbm,1h_4h,35,7.695192,1.478662,20.614285,28.075656,10.092656,22.989252
codex,0.0005,oracle_infinite_hbm,1m_5m,762,1.705342,0.351543,3.347682,8.5327,3.379965,7.047215
codex,0.0005,oracle_infinite_hbm,30m_1h,52,7.168475,6.193715,18.429937,22.353676,9.765828,20.367336
codex,0.0005,oracle_infinite_hbm,4h_12h,15,6.145856,2.42137,15.732611,17.839965,8.224315,17.270165
codex,0.0005,oracle_infinite_hbm,5m_30m,364,3.874748,0.691837,13.339292,26.113445,6.1064,17.297489
codex,0.0005,oracle_infinite_hbm,gt_12h,12,2.665436,1.221724,6.327266,7.256104,4.961027,8.629244
codex,0.0005,oracle_infinite_hbm,lt_1m,14058,0.521538,0.249189,0.782093,1.44707,2.127461,4.606485
codex,0.001,baseline_cpu_ssd,1h_4h,32,8.383773,2.733793,28.674738,30.191921,11.273146,30.849765
codex,0.001,baseline_cpu_ssd,1m_5m,904,1.744747,0.370784,2.746284,8.713645,3.279152,7.230826
codex,0.001,baseline_cpu_ssd,30m_1h,52,6.378547,5.12536,11.309796,18.418419,8.520262,14.151719
codex,0.001,baseline_cpu_ssd,4h_12h,16,5.185638,1.34272,13.841288,15.276236,7.489491,15.503445
codex,0.001,baseline_cpu_ssd,5m_30m,406,2.911096,0.772563,7.265237,15.121721,5.203843,13.652382
codex,0.001,baseline_cpu_ssd,gt_12h,20,1.013752,0.411948,2.531879,3.210624,5.85337,12.35054
codex,0.001,baseline_cpu_ssd,lt_1m,14209,0.625101,0.272751,0.990775,1.788012,2.199841,4.8083
codex,0.001,hbf_prefill_p4d4,1h_4h,32,10.269502,3.015964,34.113499,37.298894,13.272646,36.027181
codex,0.001,hbf_prefill_p4d4,1m_5m,904,1.944028,0.388555,3.899862,10.701874,3.483167,8.124103
codex,0.001,hbf_prefill_p4d4,30m_1h,52,6.993125,5.677845,12.302632,19.77206,9.171864,14.946909
codex,0.001,hbf_prefill_p4d4,4h_12h,16,5.600845,1.317905,14.824758,16.382062,7.881145,16.489435
codex,0.001,hbf_prefill_p4d4,5m_30m,406,3.136978,0.840172,8.265747,16.533579,5.442024,13.907799
codex,0.001,hbf_prefill_p4d4,gt_12h,20,1.015134,0.359898,2.621333,3.365493,5.667781,11.84815
codex,0.001,hbf_prefill_p4d4,lt_1m,14209,0.656923,0.277174,1.05838,1.878335,2.234129,4.902398
codex,0.001,oracle_infinite_hbm,1h_4h,32,8.379594,2.733793,28.669759,30.193011,11.270031,30.857912
codex,0.001,oracle_infinite_hbm,1m_5m,904,1.753494,0.372701,2.668657,9.462277,3.289226,7.344193
codex,0.001,oracle_infinite_hbm,30m_1h,52,6.456694,5.171813,11.309796,18.418419,8.684445,14.152307
codex,0.001,oracle_infinite_hbm,4h_12h,16,5.180438,1.310455,13.841288,15.276236,7.503466,15.519484
codex,0.001,oracle_infinite_hbm,5m_30m,406,2.902317,0.766778,7.274945,14.961028,5.191419,13.550265
codex,0.001,oracle_infinite_hbm,gt_12h,20,0.996043,0.420402,2.522073,3.268879,5.830159,12.388411
codex,0.001,oracle_infinite_hbm,lt_1m,14209,0.625366,0.272638,0.989133,1.774971,2.200279,4.790903
codex,0.002,baseline_cpu_ssd,1h_4h,42,6.856918,0.79785,20.927752,25.390595,9.222588,23.465759
codex,0.002,baseline_cpu_ssd,1m_5m,1102,2.870904,0.431253,7.021475,19.874568,4.74317,12.328537
codex,0.002,baseline_cpu_ssd,30m_1h,68,5.048533,1.101103,13.742015,20.262699,7.430158,18.291761
codex,0.002,baseline_cpu_ssd,4h_12h,18,5.792517,1.83453,15.53639,16.82608,8.75026,17.962874
