pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.2653,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.1926,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.2553,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.2264,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.3707,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.212,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.4168,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.3399,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.2873,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.1191,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.3436,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1449,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.316,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.287,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.2839,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.2945,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.2824,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.2582,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.2704,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.3222,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.5474,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.4951,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.3936,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.4715,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.3564,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.3277,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.3039,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.0917,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.3205,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.3272,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.3154,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.8273,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.8686,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.8622,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.83,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.8581,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.8321,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.8628,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.7783,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.8048,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.8654,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.7726,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.8806,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.915,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.9428,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.8944,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.9037,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.8972,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.9071,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.9975,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.9928,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.9962,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.9983,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.9927,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9971,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,1.2044,1
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.5178,1
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,-0.0812,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.9786,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,2.4232,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9725,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.9908,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.9881,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-14.0104,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9935,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9884,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.1171,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.1238,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.1175,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.1119,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.083,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.1074,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0857,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0952,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0984,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.158,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.1057,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1894,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.1449,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.1094,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0177,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.147,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0332,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.1422,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0911,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0923,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.1028,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0901,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0802,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0935,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.104,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.1317,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1662,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.1802,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1484,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.2163,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.1153,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0967,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.0001,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.1137,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0293,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.1126,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.1268,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.1255,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.1138,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.1265,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0711,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.1267,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,-0.0018,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0799,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0733,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0852,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0632,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.1505,2
16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.1477,2
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0924,2
16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0452,2
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.1557,2
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.0601,2
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.1562,2
16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.215,2
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.245,2
16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.1936,2
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.2515,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.2528,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.2394,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.0764,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.1166,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.1126,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.1733,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.1698,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.1674,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.122,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.1104,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.0011,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.1121,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.0309,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.1003,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.628,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.7523,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.6882,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.6029,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.8643,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.6256,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.4463,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.4117,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.4639,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,0.4478,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.4601,4
