prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,128,2048,1300.26
16,16,128,4096,4092.72
16,16,128,8192,8219.43
16,16,128,16384,21268.7
16,32,0,0,7.98933
16,32,1,16,7.88267
16,32,1,32,7.95733
16,32,1,64,8.01067
16,32,1,128,9.622
16,32,1,256,12.1913
16,32,1,512,17.3227
16,32,1,1024,27.5523
16,32,1,2048,48.608
16,32,1,4096,89.7387
16,32,1,8192,172.054
16,32,1,16384,336.94
16,32,2,16,7.776
16,32,2,32,7.85067
16,32,2,64,7.92533
16,32,2,128,9.67467
16,32,2,256,12.2133
16,32,2,512,17.2693
16,32,2,1024,27.9787
16,32,2,2048,49.9307
16,32,2,4096,93.9847
16,32,2,8192,181.941
16,32,2,16384,358.092
16,32,4,16,7.915
16,32,4,32,7.90433
16,32,4,64,7.98933
16,32,4,128,9.72767
16,32,4,256,12.288
16,32,4,512,17.5573
16,32,4,1024,28.4797
16,32,4,2048,51.2637
16,32,4,4096,95.424
16,32,4,8192,184.417
16,32,4,16384,363.852
16,32,8,16,12.128
16,32,8,32,12.2243
16,32,8,64,12.4263
16,32,8,128,16.3523
16,32,8,256,21.8027
16,32,8,512,32.2563
16,32,8,1024,54.357
16,32,8,2048,97.8137
16,32,8,4096,183.979
16,32,8,8192,357.227
16,32,8,16384,716.78
16,32,16,16,16.2987
16,32,16,32,16.5123
16,32,16,64,16.7463
16,32,16,128,23.7547
16,32,16,256,31.8503
16,32,16,512,48.1817
16,32,16,1024,81.376
16,32,16,2048,146.39
16,32,16,4096,276.001
16,32,16,8192,539.511
16,32,16,16384,1085.35
16,32,32,16,28.448
16,32,32,32,28.7253
16,32,32,64,29.322
16,32,32,128,43.776
16,32,32,256,60.1817
16,32,32,512,92.3523
16,32,32,1024,156.438
16,32,32,2048,283.841
16,32,32,4096,539.799
16,32,32,8192,1099.87
16,32,32,16384,2179.17
16,32,64,16,51.7017
16,32,64,32,52.3307
16,32,64,64,53.3867
16,32,64,128,81.686
16,32,64,256,112.246
16,32,64,512,174.102
16,32,64,1024,296.951
16,32,64,2048,540.194
16,32,64,4096,1207
16,32,64,8192,2465.13
16,32,64,16384,4916.79
16,32,128,16,94.6457
16,32,128,32,95.6697
16,32,128,64,98.8373
16,32,128,128,159.296
16,32,128,256,231.947
16,32,128,512,373.302
16,32,128,1024,645.123
16,32,128,2048,1304.54
16,32,128,4096,4085.5
16,32,128,8192,8232.78
16,32,128,16384,20888.2
16,64,0,0,8.053
16,64,1,16,7.93567
16,64,1,32,7.95733
16,64,1,64,7.97867
16,64,1,128,9.72833
16,64,1,256,12.2453
16,64,1,512,17.3867
16,64,1,1024,27.6263
16,64,1,2048,48.4803
