prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,128,8192,8158.07
16,512,128,8748,8800.72
16,512,128,13122,14751.2
16,512,128,16384,20695.3
16,768,0,0,22.933
16,768,1,512,22.6777
16,768,1,768,22.816
16,768,1,1152,30.6667
16,768,1,1728,42.2293
16,768,1,2592,61.664
16,768,1,3888,88.96
16,768,1,5832,135.478
16,768,1,8748,201.6
16,768,1,13122,298.379
16,768,1,16384,373.643
16,768,2,512,23.8187
16,768,2,768,24.0423
16,768,2,1152,32.4047
16,768,2,1728,44.7893
16,768,2,2592,65.28
16,768,2,3888,92.8533
16,768,2,5832,135.99
16,768,2,8748,201.729
16,768,2,13122,297.589
16,768,2,16384,370.101
16,768,4,512,23.797
16,768,4,768,24.448
16,768,4,1152,33.2903
16,768,4,1728,45.643
16,768,4,2592,66.3893
16,768,4,3888,95.2103
16,768,4,5832,138.912
16,768,4,8748,205.622
16,768,4,13122,302.955
16,768,4,16384,378.933
16,768,8,512,40.2457
16,768,8,768,46.0377
16,768,8,1152,62.9653
16,768,8,1728,86.4433
16,768,8,2592,126.091
16,768,8,3888,181.056
16,768,8,5832,266.826
16,768,8,8748,396.822
16,768,8,13122,594.892
16,768,8,16384,749.643
16,768,16,512,56.9277
16,768,16,768,68.4273
16,768,16,1152,94.2297
16,768,16,1728,128.843
16,768,16,2592,188.107
16,768,16,3888,271.499
16,768,16,5832,400.705
16,768,16,8748,603.052
16,768,16,13122,875.203
16,768,16,16384,1092.05
16,768,32,512,102.742
16,768,32,768,130.752
16,768,32,1152,180.811
16,768,32,1728,250.241
16,768,32,2592,365.771
16,768,32,3888,532.897
16,768,32,5832,801.783
16,768,32,8748,1226.83
16,768,32,13122,1824.09
16,768,32,16384,2265.21
16,768,64,512,186.902
16,768,64,768,251.883
16,768,64,1152,350.859
16,768,64,1728,481.238
16,768,64,2592,709.015
16,768,64,3888,1125.04
16,768,64,5832,1813.95
16,768,64,8748,2689.19
16,768,64,13122,4027.21
16,768,64,16384,4938.08
16,768,128,512,376.898
16,768,128,768,513.996
16,768,128,1152,715.735
16,768,128,1728,1013.6
16,768,128,2592,2028.27
16,768,128,3888,3892.85
16,768,128,5832,5812.39
16,768,128,8748,8824.69
16,768,128,13122,15503.3
16,768,128,16384,20048
16,1024,0,0,28.48
16,1024,1,16,28.4803
16,1024,1,32,28.3737
16,1024,1,64,28.3313
16,1024,1,128,28.3093
16,1024,1,256,28.2563
16,1024,1,512,28.2773
16,1024,1,1024,28.6613
16,1024,1,2048,50.1547
16,1024,1,4096,94.475
16,1024,1,8192,182.55
16,1024,1,16384,359.521
16,1024,2,16,28.171
16,1024,2,32,28.2023
16,1024,2,64,28.2773
16,1024,2,128,28.224
16,1024,2,256,28.181
16,1024,2,512,28.1917
16,1024,2,1024,28.6393
16,1024,2,2048,50.646
16,1024,2,4096,94.7843
16,1024,2,8192,182.934
16,1024,2,16384,359.745
16,1024,4,16,28.192
16,1024,4,32,28.2563
16,1024,4,64,28.2343
16,1024,4,128,28.2347
16,1024,4,256,28.373
16,1024,4,512,28.6187
16,1024,4,1024,29.2263
16,1024,4,2048,51.52
16,1024,4,4096,96.3623
16,1024,4,8192,185.483
16,1024,4,16384,365.473
16,1024,8,16,32.6827
16,1024,8,32,32.928
16,1024,8,64,33.035
16,1024,8,128,35.349
16,1024,8,256,38.5603
16,1024,8,512,44.043
16,1024,8,1024,55.7867
16,1024,8,2048,98.72
16,1024,8,4096,184.79
16,1024,8,8192,358.87
16,1024,8,16384,719.725
16,1024,16,16,37.4293
16,1024,16,32,37.6643
16,1024,16,64,37.8667
16,1024,16,128,42.9653
16,1024,16,256,48.7893
16,1024,16,512,59.6373
16,1024,16,1024,82.5813
16,1024,16,2048,147.19
16,1024,16,4096,276.022
16,1024,16,8192,539.884
16,1024,16,16384,1085.05
16,1024,32,16,49.9737
16,1024,32,32,50.1973
