pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0939,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.1835,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,0.4878,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.5488,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,0.4563,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.5637,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.3789,4
16,n<=128,sr>70%,kvB<=16k,kp=0,0.5467,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.2753,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.2853,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.2698,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.305,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.0477,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.3291,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.7616,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.7007,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.7117,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.7717,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.828,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.7214,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.3981,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.3996,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.3853,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.3959,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.2755,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.3974,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,-0.0228,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,-0.0315,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0203,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.3302,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0474,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.4353,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.4059,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.2999,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,-0.0816,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.4185,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0764,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.4195,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.3077,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.3103,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.2968,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.3071,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.2065,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.305,4
