prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,128,128,85.8133
16,256,128,256,123.755
16,256,128,512,207.414
16,256,128,1024,356.278
16,256,128,2048,775.459
16,256,128,4096,2168.32
16,256,128,8192,4293.87
16,256,128,16384,10504.6
16,512,0,0,17.793
16,512,1,16,17.5787
16,512,1,32,17.558
16,512,1,64,17.5577
16,512,1,128,17.365
16,512,1,256,17.3547
16,512,1,512,17.5467
16,512,1,768,22.2827
16,512,1,1024,28.17
16,512,1,1152,30.613
16,512,1,1728,42.0273
16,512,1,2048,50.4537
16,512,1,2592,61.75
16,512,1,3888,89.3547
16,512,1,4096,95.093
16,512,1,5832,131.797
16,512,1,8192,185.942
16,512,1,8748,196.96
16,512,1,13122,290.528
16,512,1,16384,364.417
16,512,2,16,17.4503
16,512,2,32,17.5357
16,512,2,64,17.4827
16,512,2,128,17.376
16,512,2,256,17.3977
16,512,2,512,17.5787
16,512,2,768,22.357
16,512,2,1024,28.2883
16,512,2,1152,30.912
16,512,2,1728,42.3143
16,512,2,2048,50.613
16,512,2,2592,61.7173
16,512,2,3888,89.1633
16,512,2,4096,95.307
16,512,2,5832,131.104
16,512,2,8192,185.003
16,512,2,8748,195.35
16,512,2,13122,290.198
16,512,2,16384,362.859
16,512,4,16,17.4507
16,512,4,32,17.4613
16,512,4,64,17.4293
16,512,4,128,17.3437
16,512,4,256,17.3337
16,512,4,512,17.5257
16,512,4,768,22.496
16,512,4,1024,28.2237
16,512,4,1152,30.8267
16,512,4,1728,42.5707
16,512,4,2048,50.6243
16,512,4,2592,62.0803
16,512,4,3888,89.0773
16,512,4,4096,95.093
16,512,4,5832,130.934
16,512,4,8192,184.16
16,512,4,8748,195.765
16,512,4,13122,290.614
16,512,4,16384,363.563
16,512,8,16,17.4297
16,512,8,32,17.6107
16,512,8,64,17.5677
16,512,8,128,17.579
16,512,8,256,17.643
16,512,8,512,17.931
16,512,8,768,23.4347
16,512,8,1024,29.194
16,512,8,1152,31.9367
16,512,8,1728,43.8933
16,512,8,2048,52.011
16,512,8,2592,63.787
16,512,8,3888,91.723
16,512,8,4096,96.864
16,512,8,5832,134.678
16,512,8,8192,187.787
16,512,8,8748,199.915
16,512,8,13122,294.092
16,512,8,16384,367.894
16,512,16,16,22.5387
16,512,16,32,22.5597
16,512,16,64,22.7737
16,512,16,128,25.312
16,512,16,256,27.637
16,512,16,512,33.5357
16,512,16,768,43.8187
16,512,16,1024,55.627
16,512,16,1152,60.971
16,512,16,1728,83.9577
16,512,16,2048,99.7763
16,512,16,2592,122.059
16,512,16,3888,177.505
16,512,16,4096,188
16,512,16,5832,261.195
16,512,16,8192,370.059
16,512,16,8748,395.851
16,512,16,13122,587.873
16,512,16,16384,734.093
16,512,32,16,26.976
16,512,32,32,26.8377
16,512,32,64,27.5523
16,512,32,128,32.182
16,512,32,256,37.7817
16,512,32,512,49.4833
16,512,32,768,66.0053
16,512,32,1024,83.36
16,512,32,1152,91.4983
16,512,32,1728,125.622
16,512,32,2048,149.952
16,512,32,2592,184.128
16,512,32,3888,272.545
16,512,32,4096,290.87
16,512,32,5832,415.02
16,512,32,8192,580.076
16,512,32,8748,615.191
16,512,32,13122,908.739
16,512,32,16384,1130.91
16,512,64,16,39.189
16,512,64,32,39.5093
16,512,64,64,40.224
16,512,64,128,52.352
16,512,64,256,66.3573
16,512,64,512,95.5847
16,512,64,768,131.713
16,512,64,1024,165.099
16,512,64,1152,180.641
16,512,64,1728,253.814
16,512,64,2048,308.438
16,512,64,2592,389.473
16,512,64,3888,690.604
16,512,64,4096,739.81
16,512,64,5832,1063.71
16,512,64,8192,1481.81
16,512,64,8748,1579.76
16,512,64,13122,2358.46
16,512,64,16384,2948.67
16,512,128,16,60.3523
16,512,128,32,60.8003
16,512,128,64,62.443
16,512,128,128,89.1523
16,512,128,256,123.403
16,512,128,512,208.309
16,512,128,768,282.71
16,512,128,1024,357.004
16,512,128,1152,394.71
16,512,128,1728,594.797
16,512,128,2048,781.346
16,512,128,2592,1206.14
16,512,128,3888,2061.22
16,512,128,4096,2172.31
16,512,128,5832,3070.43
16,512,128,8192,4299.09
16,512,128,8748,4613.13
16,512,128,13122,7278.3
16,512,128,16384,10459.3
16,768,0,0,22.8587
16,768,1,512,22.6447
16,768,1,768,22.7733
16,768,1,1152,30.5387
16,768,1,1728,42.3573
16,768,1,2592,61.7387
16,768,1,3888,89.2487
16,768,1,5832,131.477
16,768,1,8748,196.651
16,768,1,13122,290.967
16,768,1,16384,364.523
16,768,2,512,22.4533
16,768,2,768,22.6453
16,768,2,1152,30.6773
16,768,2,1728,42.2827
16,768,2,2592,61.7177
16,768,2,3888,89.451
16,768,2,5832,131.659
16,768,2,8748,194.987
16,768,2,13122,290.102
16,768,2,16384,362.624
16,768,4,512,22.4217
16,768,4,768,22.7093
16,768,4,1152,30.688
16,768,4,1728,42.5393
16,768,4,2592,61.7707
16,768,4,3888,89.1847
16,768,4,5832,131.147
16,768,4,8748,195.253
16,768,4,13122,290.069
16,768,4,16384,362.112
16,768,8,512,23.04
16,768,8,768,23.4133
16,768,8,1152,31.7553
16,768,8,1728,43.8083
16,768,8,2592,63.6803
16,768,8,3888,90.9547
16,768,8,5832,133.941
16,768,8,8748,198.901
16,768,8,13122,293.451
16,768,8,16384,366.092
16,768,16,512,37.9737
16,768,16,768,44.0643
16,768,16,1152,60.6083
16,768,16,1728,83.296
16,768,16,2592,121.654
16,768,16,3888,177.1
16,768,16,5832,262.081
16,768,16,8748,394.337
16,768,16,13122,587.329
16,768,16,16384,733.144
16,768,32,512,54.283
16,768,32,768,66.005
16,768,32,1152,91.4033
16,768,32,1728,125.131
16,768,32,2592,183.583
16,768,32,3888,272.225
16,768,32,5832,413.036
16,768,32,8748,614.594
16,768,32,13122,909.591
16,768,32,16384,1133.54
16,768,64,512,98.9767
16,768,64,768,131.702
16,768,64,1152,180.213
16,768,64,1728,253.878
16,768,64,2592,388.652
16,768,64,3888,692.077
16,768,64,5832,1061.31
16,768,64,8748,1577.02
16,768,64,13122,2358.13
16,768,64,16384,2957.48
16,768,128,512,209.953
16,768,128,768,284.097
16,768,128,1152,395.681
16,768,128,1728,596.952
16,768,128,2592,1207.52
16,768,128,3888,2064.63
16,768,128,5832,3070.54
16,768,128,8748,4606.44
16,768,128,13122,7428.2
16,768,128,16384,10222.3
16,1024,0,0,29.0657
16,1024,1,16,28.4693
16,1024,1,32,28.48
16,1024,1,64,28.384
16,1024,1,128,28.469
16,1024,1,256,28.4907
16,1024,1,512,28.352
16,1024,1,1024,28.747
16,1024,1,2048,50.592
16,1024,1,4096,95.6263
16,1024,1,8192,186.124
16,1024,1,16384,365.451
16,1024,2,16,28.416
16,1024,2,32,28.4163
16,1024,2,64,28.4053
16,1024,2,128,28.32
16,1024,2,256,28.491
16,1024,2,512,28.3093
16,1024,2,1024,28.8113
16,1024,2,2048,50.4533
16,1024,2,4096,95.35
16,1024,2,8192,185.142
16,1024,2,16384,363.511
16,1024,4,16,28.235
16,1024,4,32,28.2133
16,1024,4,64,28.384
16,1024,4,128,28.224
16,1024,4,256,28.3307
16,1024,4,512,28.4373
16,1024,4,1024,28.6293
