family,rate,system,seeds,target_concurrency_mean,scored_calls_mean,output_tokens_per_s_mean,first_ttft_p50_s_mean,first_ttft_p95_s_mean,resume_ttft_p50_s_mean,resume_ttft_p95_s_mean,resume_ttft_p99_s_mean,tpot_p50_ms_mean,tpot_p95_ms_mean,turn_latency_mean_s_mean,turn_latency_p50_s_mean,turn_latency_p99_s_mean,wall_s_mean,slo_names,slo_good_tokens_per_s
claude,0.004,hbf_prefill_p4d4,3,84.0,5718.333333,127.389802,0.568396,13.300754,0.457815,3.969688,10.963803,6.550049,15.366415,6.073639,2.64042,55.365303,167.718421,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,125.3|125.3|125.3|118.6|118.6|118.6|122.8|122.8|122.8
claude,0.004,oracle_infinite_hbm,3,84.0,5723.666667,127.455965,0.324367,11.777237,0.43705,3.183203,5.869101,6.584369,16.000079,5.912002,2.597154,55.333812,153.327056,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,126.2|126.2|126.2|121.4|121.4|121.4|124.6|124.6|124.6
claude,0.006,baseline_cpu_ssd,3,126.0,5908.333333,187.494458,0.465164,39.847499,0.565341,13.034763,44.084399,9.61891,19.159712,9.265601,3.518536,91.180695,149.249168,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,172.4|172.4|172.4|156.0|156.0|156.0|164.5|164.5|164.5
claude,0.006,hbf_prefill_p4d4,3,126.0,5950.333333,188.579172,0.599636,36.433532,0.568199,9.579367,49.242263,9.502889,18.824442,8.815339,3.467855,85.112405,152.47398,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,179.5|179.5|179.5|161.4|161.4|161.4|171.4|171.4|171.4
claude,0.006,oracle_infinite_hbm,3,126.0,6001.666667,189.472985,0.432077,33.165662,0.489983,3.977115,29.810213,9.19264,23.393692,8.011958,3.206145,82.784367,129.891393,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,186.2|186.2|186.2|175.8|175.8|175.8|182.4|182.4|182.4
claude,0.008,baseline_cpu_ssd,3,168.0,5847.333333,254.149207,0.594999,27.575548,0.728787,31.538625,107.870162,13.901815,21.005353,15.030953,5.163776,142.519841,141.743611,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,215.9|215.9|215.9|178.7|178.7|178.7|196.5|196.5|196.5
claude,0.008,hbf_prefill_p4d4,3,168.0,5919.666667,257.068488,0.592339,29.477424,0.663971,24.103647,105.90755,13.746226,21.240679,14.005038,4.807539,145.572869,137.540906,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,228.4|228.4|228.4|193.7|193.7|193.7|211.1|211.1|211.1
claude,0.008,oracle_infinite_hbm,3,168.0,6010.666667,258.677507,0.38854,23.691462,0.508574,4.817726,44.727491,14.548031,38.663662,12.902218,4.60331,132.628434,90.535097,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,252.4|252.4|251.4|233.8|233.8|232.8|245.6|245.6|244.6
claude,0.012,baseline_cpu_ssd,3,253.0,5116.333333,349.245873,0.752944,28.53018,1.466212,55.810616,232.386413,18.342934,23.082967,25.959011,8.402297,275.614617,156.057175,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,255.9|255.9|255.9|188.4|188.4|188.4|217.6|217.6|217.6
claude,0.012,hbf_prefill_p4d4,3,253.0,5124.666667,349.776098,0.744273,25.185479,1.120327,53.476865,234.784521,18.525116,23.153894,25.138019,7.764141,286.648304,141.563471,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,284.8|284.8|284.8|215.7|215.7|215.7|251.2|251.2|251.2
claude,0.012,oracle_infinite_hbm,3,253.0,5178.0,335.641025,0.521034,25.547971,0.553395,6.033056,43.844109,43.986451,69.424818,28.128618,11.16347,257.548848,37.846556,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,323.0|324.1|191.6|292.5|293.7|173.9|310.6|311.7|184.8
claude,0.016,baseline_cpu_ssd,3,337.0,4768.666667,415.416884,0.753768,21.733816,2.435656,69.609491,410.595121,20.778474,24.048765,33.803895,10.713469,433.440014,219.079213,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,283.3|283.3|283.3|188.7|188.7|188.7|230.8|230.8|230.8
claude,0.016,hbf_prefill_p4d4,3,337.0,4805.666667,416.995351,0.863295,25.461055,1.873813,72.926125,386.870188,21.190326,24.20376,35.011653,9.867163,410.042092,195.944232,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,301.8|301.8|301.8|211.0|211.0|211.0|252.8|252.8|252.8
claude,0.016,oracle_infinite_hbm,3,337.0,4616.666667,382.048179,0.627576,46.623223,0.569103,17.716509,81.451044,68.868069,90.57194,41.928405,16.885942,386.487898,19.324107,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,342.7|359.7|117.8|309.6|325.5|107.1|330.1|346.5|114.4
claude,0.024,baseline_cpu_ssd,3,505.0,3808.333333,502.02621,1.094835,22.948127,4.385005,90.827383,388.0977,22.319571,25.26596,38.950469,13.541295,421.24366,337.32602,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,288.6|288.6|288.6|184.7|184.7|184.7|228.3|228.3|228.3
claude,0.024,hbf_prefill_p4d4,3,505.0,3794.333333,496.196299,1.177302,30.913803,3.891937,105.064724,452.605872,22.617133,25.399359,44.583341,12.903532,471.894687,323.585623,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,290.4|290.4|290.4|180.5|180.5|180.5|224.1|224.1|224.1
claude,0.024,oracle_infinite_hbm,3,505.0,3495.666667,396.044665,0.592397,26.628795,0.649638,14.592754,39.145591,110.826772,160.556101,59.401111,24.109198,552.182566,10.863561,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,182.0|296.1|69.8|162.0|260.2|61.3|172.1|278.5|66.0
claude,0.032,baseline_cpu_ssd,3,674.0,3309.333333,575.419228,1.97615,27.320565,8.678404,113.936412,435.189495,23.041319,25.306723,43.53643,17.622758,477.509386,468.892423,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,246.8|246.8|246.8|129.7|129.7|129.7|173.1|173.1|173.1
claude,0.032,hbf_prefill_p4d4,3,674.0,3263.666667,567.955345,1.624643,37.18294,8.177985,126.33509,490.904823,23.462287,25.54646,46.371995,18.215628,522.436319,454.303847,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,231.7|231.7|231.7|125.4|125.4|125.4|163.1|163.1|163.1
claude,0.032,oracle_infinite_hbm,3,674.0,2872.0,377.197137,0.816874,25.534991,0.715363,13.250993,39.563201,176.892981,234.066119,78.295165,32.937527,766.942526,8.092146,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,47.7|146.2|18.6|41.1|122.7|17.4|45.6|137.6|18.0
codex,0.00025,baseline_cpu_ssd,3,9.0,4584.0,9.989816,0.240782,0.820731,0.260989,1.790872,10.383653,4.191088,5.070414,2.33413,1.064152,21.998725,50.111446,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,9.8|9.8|9.8|9.4|9.4|9.4|9.7|9.7|9.7
codex,0.00025,hbf_prefill_p4d4,3,9.0,4584.0,9.989816,0.371178,4.306668,0.265313,1.951717,11.494839,4.184542,5.067962,2.375814,1.073004,22.702704,50.789102,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,9.8|9.8|9.8|9.4|9.4|9.4|9.6|9.6|9.6
codex,0.00025,oracle_infinite_hbm,3,9.0,4584.0,9.989816,0.240782,0.820731,0.260989,1.790872,10.383653,4.191088,5.070414,2.33413,1.064152,21.998725,45.186697,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,9.8|9.8|9.8|9.4|9.4|9.4|9.7|9.7|9.7
codex,0.0005,baseline_cpu_ssd,3,18.0,5143.0,21.803784,0.21776,0.656071,0.255692,1.864079,12.274875,4.239471,5.205937,2.327846,1.045896,23.186101,56.118387,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,21.4|21.4|21.4|20.7|20.7|20.7|21.1|21.1|21.1
codex,0.0005,hbf_prefill_p4d4,3,18.0,5143.0,21.803784,0.375445,0.926351,0.259683,1.969274,12.72651,4.23633,5.239082,2.36388,1.051351,24.118946,56.895154,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,21.4|21.4|21.4|20.6|20.6|20.6|21.0|21.0|21.0
codex,0.0005,oracle_infinite_hbm,3,18.0,5143.0,21.803784,0.21776,0.656059,0.255623,1.863854,12.056599,4.239183,5.209169,2.32629,1.048145,23.185835,50.521382,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,21.4|21.4|21.4|20.7|20.7|20.7|21.1|21.1|21.1
codex,0.001,baseline_cpu_ssd,3,36.0,5256.666667,42.725245,0.257459,0.818201,0.28216,2.154037,12.612042,4.398394,5.99246,2.376434,1.082117,22.306641,62.612636,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,41.9|41.9|41.9|40.2|40.2|40.2|41.1|41.1|41.1
codex,0.001,hbf_prefill_p4d4,3,36.0,5256.666667,42.725245,0.398836,2.433271,0.286903,2.311047,13.39879,4.397815,6.044729,2.431366,1.092393,23.45584,63.038549,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,41.8|41.8|41.8|39.9|39.9|39.9|40.8|40.8|40.8
codex,0.001,oracle_infinite_hbm,3,36.0,5256.666667,42.725245,0.259187,0.84094,0.282107,2.159526,12.588502,4.398465,6.009736,2.377163,1.083346,22.318073,56.562301,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,41.9|41.9|41.9|40.2|40.2|40.2|41.1|41.1|41.1
codex,0.002,baseline_cpu_ssd,3,73.0,5407.333333,94.709956,0.255436,2.478934,0.306015,3.912258,24.442128,4.676208,7.293546,3.03934,1.286208,30.930876,78.031934,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,91.4|91.4|91.4|86.4|86.4|86.4|89.1|89.1|89.1
codex,0.002,hbf_prefill_p4d4,3,73.0,5399.666667,94.607046,0.44588,6.245611,0.311277,4.286566,26.3955,4.684842,7.362734,3.126657,1.311996,32.377427,78.677416,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,90.9|90.9|90.9|85.4|85.4|85.4|88.0|88.0|88.0
codex,0.002,oracle_infinite_hbm,3,73.0,5406.0,94.671123,0.245943,1.883885,0.305602,3.851009,24.92896,4.676434,7.256709,3.039609,1.276264,30.885082,72.206796,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,91.5|91.5|91.5|86.6|86.6|86.6|89.5|89.5|89.5
codex,0.003,baseline_cpu_ssd,3,109.0,5906.666667,154.90862,0.296323,8.867343,0.345586,8.222282,26.755702,5.234419,9.278038,3.786268,1.57478,34.002925,89.210853,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,146.5|146.5|146.5|136.4|136.4|136.4|141.8|141.8|141.8
codex,0.003,hbf_prefill_p4d4,3,109.0,5902.0,154.920935,0.533253,9.068129,0.357047,9.004745,29.316932,5.302255,9.341357,3.939819,1.619238,36.579673,91.588751,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,146.0|146.0|146.0|136.0|136.0|136.0|140.9|140.9|140.9
codex,0.003,oracle_infinite_hbm,3,109.0,5906.333333,155.054078,0.375588,13.411022,0.343121,7.394068,29.025643,5.238078,9.19186,3.764072,1.569239,35.617516,83.990373,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,146.9|146.9|146.9|137.0|137.0|137.0|142.1|142.1|142.1
codex,0.004,baseline_cpu_ssd,3,145.0,5615.333333,196.528356,0.390291,17.034168,0.359789,8.619463,28.868106,5.769722,10.443333,4.091722,1.682582,35.060608,84.722745,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,185.9|185.9|185.9|172.6|172.6|172.6|179.8|179.8|179.8
codex,0.004,hbf_prefill_p4d4,3,145.0,5600.666667,196.099799,0.61275,20.18572,0.373906,9.234128,31.499423,5.825585,10.496452,4.271913,1.757649,38.77728,85.227016,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,183.9|183.9|183.9|170.0|170.0|170.0|177.0|177.0|177.0
codex,0.004,oracle_infinite_hbm,3,145.0,5617.666667,196.522764,0.430005,13.021103,0.365706,8.298191,28.843969,5.8216,10.374718,4.076598,1.697111,35.580597,78.573095,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,185.4|185.4|185.4|171.7|171.7|171.7|179.1|179.1|179.1
codex,0.006,baseline_cpu_ssd,3,218.0,5730.333333,290.017571,0.532867,24.012166,0.470406,16.871655,34.139085,8.110857,15.686322,5.864071,2.477491,43.29878,70.790657,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,262.7|262.7|262.7|234.0|234.0|234.0|249.5|249.5|249.5
codex,0.006,hbf_prefill_p4d4,3,218.0,5720.333333,289.350991,0.753199,23.895708,0.500025,17.754169,37.021048,8.120951,15.943992,6.123963,2.552056,46.491252,71.41226,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,261.8|261.8|261.8|234.3|234.3|234.3|246.9|246.9|246.9
codex,0.006,oracle_infinite_hbm,3,218.0,5723.666667,289.54289,0.478551,21.736074,0.459304,15.683881,34.819057,7.91641,15.770195,5.721488,2.369023,44.401471,66.017672,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,262.9|262.9|262.9|235.8|235.8|235.8|249.6|249.6|249.6
codex,0.008,baseline_cpu_ssd,3,291.0,5364.333333,374.035608,3.410609,28.636399,1.106051,26.375979,44.230881,12.766206,21.138326,9.885404,4.914965,56.262816,60.102661,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,302.4|302.4|302.4|244.7|244.7|244.7|270.9|270.9|270.9
codex,0.008,hbf_prefill_p4d4,3,291.0,5284.0,369.272076,2.222953,33.08285,1.21046,29.680438,50.902554,12.799673,21.192231,10.529104,5.045501,62.992695,62.156052,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,295.6|295.6|295.6|236.0|236.0|236.0|264.0|264.0|264.0
codex,0.008,oracle_infinite_hbm,3,291.0,5425.333333,376.671804,2.773723,30.724151,0.76768,25.965199,42.409549,13.174708,23.726226,9.526825,4.397528,58.053677,44.585185,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,313.4|313.4|313.4|258.8|258.8|258.8|284.9|284.9|284.9
codex,0.012,baseline_cpu_ssd,3,436.0,4321.0,467.903281,3.672478,29.585016,7.583929,46.028383,70.050963,18.859014,23.273684,19.36999,13.465768,85.248786,117.62606,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,283.1|283.1|283.1|187.7|187.7|187.7|225.7|225.7|225.7
codex,0.012,hbf_prefill_p4d4,3,436.0,4323.333333,467.304909,3.490519,34.713823,7.041554,47.047506,80.822902,19.319995,23.4516,19.688933,12.91326,97.824473,105.657332,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,288.0|288.0|288.0|191.7|191.7|191.7|228.7|228.7|228.7
codex,0.012,oracle_infinite_hbm,3,436.0,4783.666667,503.332102,2.294459,24.791151,1.306259,28.533599,43.350198,22.041106,33.606835,13.413123,7.545388,71.368729,25.265255,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,394.1|394.1|393.9|311.2|311.2|311.1|346.7|346.7|346.6
codex,0.016,baseline_cpu_ssd,3,582.0,3293.333333,497.492128,3.4263,25.006408,17.683117,83.14648,129.039046,20.015915,23.927348,33.14067,24.413793,138.94995,221.747069,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,188.6|188.6|188.6|94.6|94.6|94.6|130.4|130.4|130.4
codex,0.016,hbf_prefill_p4d4,3,582.0,3425.333333,516.962855,5.743773,31.364126,15.476271,70.358406,120.891331,21.319238,24.132809,30.789187,22.938747,138.495522,184.521742,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,213.4|213.4|213.4|89.2|89.2|89.2|128.2|128.2|128.2
codex,0.016,oracle_infinite_hbm,3,582.0,4145.666667,585.661657,6.047476,30.094448,3.53432,30.552098,39.771182,31.386345,47.795004,18.953961,13.399568,94.781669,18.978342,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,404.5|404.5|399.3|288.6|288.6|284.4|346.4|346.4|341.7
