family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.006,oracle_infinite_hbm,5m_30m,550,3.474642,0.71233,2.766038,10.576291,13.53248,28.49712
claude,0.006,oracle_infinite_hbm,gt_12h,37,0.869111,0.381908,2.271521,2.547252,14.017999,27.067407
claude,0.006,oracle_infinite_hbm,lt_1m,15229,1.337606,0.451691,2.29094,3.011816,7.494564,16.839934
claude,0.008,baseline_cpu_ssd,1h_4h,54,19.053806,5.230214,43.749961,66.398745,31.702339,74.980602
claude,0.008,baseline_cpu_ssd,1m_5m,1464,15.662588,2.34721,35.407333,76.3001,26.140786,62.75177
claude,0.008,baseline_cpu_ssd,30m_1h,130,17.807161,4.471706,52.388666,93.862207,27.885896,80.907406
claude,0.008,baseline_cpu_ssd,4h_12h,26,20.940792,3.217782,53.568227,93.97536,41.447835,82.903668
claude,0.008,baseline_cpu_ssd,5m_30m,593,17.981832,2.189958,48.280045,87.283679,30.870082,72.481588
claude,0.008,baseline_cpu_ssd,gt_12h,31,12.080341,3.457176,23.51189,52.56489,35.561323,72.986387
claude,0.008,baseline_cpu_ssd,lt_1m,14917,5.369511,0.626401,10.876091,24.830466,13.293078,32.771757
claude,0.008,hbf_prefill_p4d4,1h_4h,56,24.099236,2.236319,54.624952,94.412545,35.790921,79.885768
claude,0.008,hbf_prefill_p4d4,1m_5m,1488,12.300279,1.712111,28.734408,60.613642,22.827833,55.99616
claude,0.008,hbf_prefill_p4d4,30m_1h,133,15.834713,2.801395,31.897285,61.660705,25.241941,54.326755
claude,0.008,hbf_prefill_p4d4,4h_12h,26,19.135095,2.98528,50.924116,85.008274,40.477321,88.662181
claude,0.008,hbf_prefill_p4d4,5m_30m,595,15.183029,1.337412,29.533498,81.165624,28.450402,63.590829
claude,0.008,hbf_prefill_p4d4,gt_12h,31,32.55488,2.534121,72.1306,153.845036,54.737546,115.857019
claude,0.008,hbf_prefill_p4d4,lt_1m,15103,4.513672,0.587381,7.536331,18.677086,12.47545,29.566128
claude,0.008,oracle_infinite_hbm,1h_4h,54,7.797556,0.957538,30.27638,35.976492,21.120934,51.515739
claude,0.008,oracle_infinite_hbm,1m_5m,1549,4.247534,0.981098,5.652513,19.348971,17.311443,47.004949
claude,0.008,oracle_infinite_hbm,30m_1h,133,5.027787,1.200818,4.421107,21.587437,17.300709,27.549477
claude,0.008,oracle_infinite_hbm,4h_12h,26,8.904932,0.9649,22.220967,40.061879,37.877838,71.473483
claude,0.008,oracle_infinite_hbm,5m_30m,600,5.146362,0.763939,4.941658,28.244946,21.185136,53.206093
claude,0.008,oracle_infinite_hbm,gt_12h,31,12.374288,1.001785,34.232337,56.471636,37.749701,78.146968
claude,0.008,oracle_infinite_hbm,lt_1m,15312,1.684094,0.47371,2.48215,3.521178,12.094357,27.14558
claude,0.012,baseline_cpu_ssd,1h_4h,60,77.022765,7.617797,188.488774,393.064868,90.765231,221.629726
claude,0.012,baseline_cpu_ssd,1m_5m,1252,40.129555,4.95979,69.870952,174.195784,55.676642,117.021732
claude,0.012,baseline_cpu_ssd,30m_1h,131,67.407728,17.707261,96.650981,300.514253,81.067376,118.933276
claude,0.012,baseline_cpu_ssd,4h_12h,28,100.379206,8.732559,188.905159,485.593692,130.167186,221.424092
claude,0.012,baseline_cpu_ssd,5m_30m,513,27.850252,5.417184,80.055421,131.221049,43.127853,110.040044
claude,0.012,baseline_cpu_ssd,gt_12h,30,16.28276,4.907072,23.635386,63.387653,40.041046,74.394082
claude,0.012,baseline_cpu_ssd,lt_1m,13010,11.528288,1.226763,18.394401,39.799042,22.000003,45.976334
claude,0.012,hbf_prefill_p4d4,1h_4h,61,78.905212,2.39753,182.78013,454.326048,92.77531,216.181383
claude,0.012,hbf_prefill_p4d4,1m_5m,1260,38.658654,3.895924,74.575535,143.051465,54.934698,107.571296
claude,0.012,hbf_prefill_p4d4,30m_1h,130,48.263859,15.023401,143.58129,195.827069,62.204209,155.297973
claude,0.012,hbf_prefill_p4d4,4h_12h,28,89.906359,3.430516,161.469833,465.784116,120.128684,191.181813
claude,0.012,hbf_prefill_p4d4,5m_30m,513,23.808625,4.336747,68.670356,131.368551,39.70181,107.148441
claude,0.012,hbf_prefill_p4d4,gt_12h,30,34.382672,3.67089,54.485696,158.424481,59.618274,94.664999
claude,0.012,hbf_prefill_p4d4,lt_1m,13027,10.521772,0.937525,15.184508,37.340118,21.374364,44.18663
claude,0.012,oracle_infinite_hbm,1h_4h,60,1.10587,0.39721,2.863226,3.951329,31.524608,62.566897
claude,0.012,oracle_infinite_hbm,1m_5m,1335,4.164944,0.970325,6.889347,29.434559,37.635685,96.092849
claude,0.012,oracle_infinite_hbm,30m_1h,132,1.686441,1.049499,3.780619,5.732453,40.659505,78.725805
claude,0.012,oracle_infinite_hbm,4h_12h,27,1.776309,0.765137,3.689931,6.758124,71.191185,144.307039
claude,0.012,oracle_infinite_hbm,5m_30m,521,4.959959,0.923851,8.087907,31.304442,40.0351,98.051307
claude,0.012,oracle_infinite_hbm,gt_12h,30,3.317636,0.479943,9.414338,13.478951,53.706093,120.684669
claude,0.012,oracle_infinite_hbm,lt_1m,13104,1.980017,0.516135,2.974905,5.077993,26.798294,62.321153
claude,0.016,baseline_cpu_ssd,1h_4h,57,102.899042,4.621906,326.511607,456.200886,121.207053,398.705327
claude,0.016,baseline_cpu_ssd,1m_5m,1097,55.989836,6.031859,63.526367,181.147788,73.048708,115.407523
claude,0.016,baseline_cpu_ssd,30m_1h,115,201.930289,24.661768,404.643932,1164.75895,212.799046,411.221441
