family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
claude,0.006,baseline_cpu_ssd,64k_128k,3892,1.345972,0.290832,1.939917,4.191449,7.416638,16.933891
claude,0.006,baseline_cpu_ssd,gt_512k,2731,10.635463,3.446803,25.389275,40.092729,18.49936,42.024719
claude,0.006,baseline_cpu_ssd,lt_16k,354,3.775891,0.15217,2.387534,10.07723,6.836564,9.385712
claude,0.006,hbf_prefill_p4d4,128k_256k,4330,1.678994,0.516462,2.448217,4.417117,8.012186,17.502948
claude,0.006,hbf_prefill_p4d4,16k_64k,3539,0.869096,0.173134,1.563052,2.766494,4.89332,9.922625
claude,0.006,hbf_prefill_p4d4,256k_512k,2581,2.939088,1.010576,4.866171,10.258871,11.473873,26.804861
claude,0.006,hbf_prefill_p4d4,64k_128k,3925,1.283041,0.297641,1.784505,3.476553,7.098862,15.978266
claude,0.006,hbf_prefill_p4d4,gt_512k,2794,8.381932,2.832854,18.868867,33.047985,16.274814,37.060943
claude,0.006,hbf_prefill_p4d4,lt_16k,355,3.646768,0.142541,2.622421,9.914213,6.572646,9.003168
claude,0.006,oracle_infinite_hbm,128k_256k,4364,1.415952,0.487269,1.715495,2.747587,7.938148,17.060166
claude,0.006,oracle_infinite_hbm,16k_64k,3539,0.726812,0.15945,1.205534,2.299144,4.894719,9.564813
claude,0.006,oracle_infinite_hbm,256k_512k,2581,2.01218,0.927664,2.034672,3.292444,11.318886,26.560689
claude,0.006,oracle_infinite_hbm,64k_128k,3996,0.977284,0.281713,1.296685,2.347411,6.891455,15.59878
claude,0.006,oracle_infinite_hbm,gt_512k,2843,3.137278,2.130266,5.419188,6.147091,11.923031,25.628598
claude,0.006,oracle_infinite_hbm,lt_16k,355,4.048012,0.121288,2.347193,15.53319,7.012799,9.270742
claude,0.008,baseline_cpu_ssd,128k_256k,4368,3.199237,0.626894,6.962363,11.846016,12.586803,28.315239
claude,0.008,baseline_cpu_ssd,16k_64k,3569,1.835266,0.192972,3.075909,7.096958,7.289526,14.809816
claude,0.008,baseline_cpu_ssd,256k_512k,2554,8.041292,1.679509,20.423482,33.636252,19.090445,45.553027
claude,0.008,baseline_cpu_ssd,64k_128k,4190,2.671823,0.352407,4.930547,10.359795,11.206881,26.717695
claude,0.008,baseline_cpu_ssd,gt_512k,2173,28.58834,9.154866,74.135218,114.978003,38.007346,90.935275
claude,0.008,baseline_cpu_ssd,lt_16k,361,6.057935,0.285154,4.834954,11.645827,9.942966,12.760951
claude,0.008,hbf_prefill_p4d4,128k_256k,4428,2.645141,0.595962,4.626293,8.974707,11.999674,27.517662
claude,0.008,hbf_prefill_p4d4,16k_64k,3585,1.303696,0.192629,2.136986,3.773667,6.779543,13.316271
claude,0.008,hbf_prefill_p4d4,256k_512k,2601,6.343685,1.521541,15.869636,28.743597,17.557145,41.863444
claude,0.008,hbf_prefill_p4d4,64k_128k,4250,2.284412,0.337772,2.92306,6.299811,10.947029,25.607643
claude,0.008,hbf_prefill_p4d4,gt_512k,2207,24.739524,6.562304,58.251142,109.137704,34.097248,79.951823
claude,0.008,hbf_prefill_p4d4,lt_16k,361,7.751115,0.218014,6.736484,24.731445,11.753704,16.086324
claude,0.008,oracle_infinite_hbm,128k_256k,4485,1.7908,0.50581,2.049517,3.692012,13.463398,31.044753
claude,0.008,oracle_infinite_hbm,16k_64k,3611,1.180922,0.171274,1.623927,2.869935,8.225473,15.504817
claude,0.008,oracle_infinite_hbm,256k_512k,2735,2.133628,0.936854,2.538559,4.591631,16.901625,38.222501
claude,0.008,oracle_infinite_hbm,64k_128k,4208,1.861736,0.297066,1.771886,3.62394,12.54543,30.6614
claude,0.008,oracle_infinite_hbm,gt_512k,2304,3.748366,2.240338,5.553676,6.50321,17.239968,40.840964
claude,0.008,oracle_infinite_hbm,lt_16k,362,7.032092,0.148799,4.316246,17.099909,12.308749,18.063721
claude,0.012,baseline_cpu_ssd,128k_256k,4366,6.824709,2.306674,17.040886,26.662958,19.429277,45.073765
claude,0.012,baseline_cpu_ssd,16k_64k,3459,2.122433,0.301649,4.811928,9.025394,9.896301,19.557963
claude,0.012,baseline_cpu_ssd,256k_512k,2046,20.640375,8.382083,54.235436,85.912542,35.318376,81.037396
claude,0.012,baseline_cpu_ssd,64k_128k,3909,3.404177,0.797933,8.692708,13.223585,15.026536,33.855593
claude,0.012,baseline_cpu_ssd,gt_512k,899,164.040083,77.241294,391.638688,555.701222,176.591347,407.576167
claude,0.012,baseline_cpu_ssd,lt_16k,345,4.785518,0.384146,6.047484,17.379905,9.968534,16.207168
claude,0.012,hbf_prefill_p4d4,128k_256k,4353,5.859255,1.781116,13.414506,21.049295,19.130622,43.219606
claude,0.012,hbf_prefill_p4d4,16k_64k,3466,1.856357,0.27118,3.155374,5.888832,9.952959,19.431328
claude,0.012,hbf_prefill_p4d4,256k_512k,2055,17.963796,6.000416,46.235758,73.567269,32.699009,75.972781
claude,0.012,hbf_prefill_p4d4,64k_128k,3912,2.753391,0.580578,5.517367,9.447856,14.9567,33.816482
claude,0.012,hbf_prefill_p4d4,gt_512k,918,156.089596,85.227645,340.841966,578.464975,169.008018,356.292297
claude,0.012,hbf_prefill_p4d4,lt_16k,345,3.962001,0.205422,3.371985,9.780272,9.171721,15.351802
claude,0.012,oracle_infinite_hbm,128k_256k,4027,2.102062,0.534368,2.874483,5.441005,31.929672,76.654799
claude,0.012,oracle_infinite_hbm,16k_64k,3381,1.287372,0.19129,1.96135,3.799551,20.565762,39.424946
claude,0.012,oracle_infinite_hbm,256k_512k,1908,2.696592,1.05251,3.719507,6.575389,33.5253,73.541582
claude,0.012,oracle_infinite_hbm,64k_128k,3808,2.204301,0.319334,2.808658,6.886576,30.371035,76.253039
claude,0.012,oracle_infinite_hbm,gt_512k,1742,4.032852,2.245687,5.778767,9.653177,31.994464,77.557386
claude,0.012,oracle_infinite_hbm,lt_16k,343,4.065769,0.23952,3.799372,9.13585,17.232266,29.649493
claude,0.016,baseline_cpu_ssd,128k_256k,4254,11.004612,5.524553,26.837058,39.426445,23.525496,51.979042
claude,0.016,baseline_cpu_ssd,16k_64k,3473,2.062164,0.429806,5.524955,10.08171,11.205644,22.273623
claude,0.016,baseline_cpu_ssd,256k_512k,1580,56.096149,27.704145,138.158525,199.03559,72.30944,165.413426
claude,0.016,baseline_cpu_ssd,64k_128k,4000,4.148236,1.43065,11.345213,15.367338,17.817391,40.083584
claude,0.016,baseline_cpu_ssd,gt_512k,328,533.280385,325.878427,1138.448344,1953.916347,553.419773,1172.93369
claude,0.016,baseline_cpu_ssd,lt_16k,346,3.335609,0.313876,7.170134,10.208023,9.60036,16.753694
claude,0.016,hbf_prefill_p4d4,128k_256k,4289,10.167384,4.288768,24.722435,40.249193,23.185299,51.894169
claude,0.016,hbf_prefill_p4d4,16k_64k,3491,1.810214,0.376643,3.94088,6.18934,11.489983,22.761836
claude,0.016,hbf_prefill_p4d4,256k_512k,1621,49.683216,27.890642,123.494811,164.726141,66.569522,152.821772
claude,0.016,hbf_prefill_p4d4,64k_128k,4019,3.792015,1.155079,8.148654,12.754449,18.265424,41.936841
claude,0.016,hbf_prefill_p4d4,gt_512k,322,618.412898,353.258098,1502.201531,2669.130242,640.091184,1581.870958
claude,0.016,hbf_prefill_p4d4,lt_16k,349,2.615712,0.256292,3.443895,6.674493,9.077893,15.204775
claude,0.016,oracle_infinite_hbm,128k_256k,3340,3.67109,0.572397,4.090562,18.967405,41.279887,95.190672
claude,0.016,oracle_infinite_hbm,16k_64k,3321,2.425511,0.209343,2.943999,5.770933,32.291634,64.550433
claude,0.016,oracle_infinite_hbm,256k_512k,1556,4.363775,1.086895,4.816523,20.365824,56.381334,138.676247
claude,0.016,oracle_infinite_hbm,64k_128k,3641,4.114173,0.343306,7.441277,23.339123,46.267805,112.634664
claude,0.016,oracle_infinite_hbm,gt_512k,1323,5.975358,2.234075,7.354945,25.190568,49.779909,123.270167
claude,0.016,oracle_infinite_hbm,lt_16k,344,5.857667,0.216689,3.886101,17.390995,26.915016,45.346567
claude,0.024,baseline_cpu_ssd,128k_256k,3072,25.732924,16.026646,56.344893,80.187402,40.428592,84.891517
claude,0.024,baseline_cpu_ssd,16k_64k,3316,2.768627,0.689132,7.897756,12.249854,12.630948,25.33559
claude,0.024,baseline_cpu_ssd,256k_512k,736,177.089125,90.365387,446.513985,648.964404,198.239065,485.473999
claude,0.024,baseline_cpu_ssd,64k_128k,3573,8.081908,3.874846,18.099274,25.779083,23.220261,49.556327
claude,0.024,baseline_cpu_ssd,gt_512k,68,776.873778,116.779631,2032.730448,2554.478423,792.550574,2048.891032
claude,0.024,baseline_cpu_ssd,lt_16k,334,7.742651,0.37231,5.217179,15.824821,14.11295,18.493424
claude,0.024,hbf_prefill_p4d4,128k_256k,3074,25.415568,16.002193,54.605097,85.852622,40.707943,89.328553
claude,0.024,hbf_prefill_p4d4,16k_64k,3327,2.788188,0.600892,5.785558,9.938969,12.999562,26.268996
claude,0.024,hbf_prefill_p4d4,256k_512k,686,188.383485,115.875421,409.453737,629.76987,210.742159,438.363522
claude,0.024,hbf_prefill_p4d4,64k_128k,3570,8.000681,3.580563,18.693267,28.061712,23.823653,53.050183
claude,0.024,hbf_prefill_p4d4,gt_512k,66,1476.011982,1391.710588,3075.944927,3253.663848,1493.248466,3102.098339
claude,0.024,hbf_prefill_p4d4,lt_16k,334,3.769142,0.283237,4.685813,9.05455,10.494614,15.848735
claude,0.024,oracle_infinite_hbm,128k_256k,2131,2.995034,0.627584,5.202918,20.300554,64.508263,146.536828
claude,0.024,oracle_infinite_hbm,16k_64k,3003,1.93407,0.255374,3.775683,8.520277,46.971604,90.378524
claude,0.024,oracle_infinite_hbm,256k_512k,1190,3.573087,1.173614,5.630903,25.389721,70.083781,155.67542
claude,0.024,oracle_infinite_hbm,64k_128k,2511,2.687964,0.404608,5.163689,15.390733,72.440641,167.891918
claude,0.024,oracle_infinite_hbm,gt_512k,1000,4.451031,2.533917,6.378497,16.291818,70.387066,167.661144
claude,0.024,oracle_infinite_hbm,lt_16k,328,3.474652,0.223822,5.420458,17.647525,33.441587,63.737812
claude,0.032,baseline_cpu_ssd,128k_256k,2309,55.634247,37.385156,120.585487,181.058366,72.076564,153.671172
claude,0.032,baseline_cpu_ssd,16k_64k,3323,3.964329,1.449471,11.666267,15.783065,13.740411,27.645339
claude,0.032,baseline_cpu_ssd,256k_512k,328,306.272935,233.374896,708.20091,984.877432,327.949292,731.234231
claude,0.032,baseline_cpu_ssd,64k_128k,3300,14.962709,11.193414,33.643337,44.306348,31.097423,61.900903
claude,0.032,baseline_cpu_ssd,gt_512k,14,67.232029,45.978342,128.106373,137.764954,81.369366,141.915372
claude,0.032,baseline_cpu_ssd,lt_16k,329,2.620775,0.363807,7.527177,11.277469,8.587736,17.030384
claude,0.032,hbf_prefill_p4d4,128k_256k,2258,59.935036,40.032593,126.067245,166.214445,77.431936,154.836315
claude,0.032,hbf_prefill_p4d4,16k_64k,3315,4.041341,1.456499,10.158141,15.627818,14.376812,29.438479
claude,0.032,hbf_prefill_p4d4,256k_512k,285,380.345865,253.166505,775.421257,847.349729,403.407069,795.874677
claude,0.032,hbf_prefill_p4d4,64k_128k,3275,15.596362,10.791791,35.970512,45.104979,32.620057,65.339342
claude,0.032,hbf_prefill_p4d4,gt_512k,5,85.203128,85.203128,112.608639,116.034327,100.435759,131.262504
claude,0.032,hbf_prefill_p4d4,lt_16k,328,2.872608,0.523121,6.521122,14.742712,9.053192,19.384734
claude,0.032,oracle_infinite_hbm,128k_256k,1749,3.100499,0.676429,6.042247,17.929667,89.966173,204.230084
claude,0.032,oracle_infinite_hbm,16k_64k,2694,2.092932,0.301584,4.211729,9.768896,62.300193,119.044644
claude,0.032,oracle_infinite_hbm,256k_512k,885,4.044544,1.276608,8.930568,23.992208,106.552139,263.4995
claude,0.032,oracle_infinite_hbm,64k_128k,1797,2.646565,0.435614,4.562889,13.631401,88.823388,217.099636
claude,0.032,oracle_infinite_hbm,gt_512k,848,4.968324,2.608144,8.407847,22.708485,85.699392,195.813912
claude,0.032,oracle_infinite_hbm,lt_16k,322,3.297444,0.317338,5.791907,18.523072,48.116605,90.940035
codex,0.00025,baseline_cpu_ssd,128k_256k,5368,0.598461,0.399001,1.132432,1.764692,2.297229,5.019604
codex,0.00025,baseline_cpu_ssd,16k_64k,2625,0.250289,0.125712,0.541256,0.866557,1.980399,4.091187
codex,0.00025,baseline_cpu_ssd,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.00025,baseline_cpu_ssd,64k_128k,4892,0.385551,0.225982,0.720659,1.196202,1.930859,4.219364
codex,0.00025,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.00025,baseline_cpu_ssd,lt_16k,736,4.628625,0.483158,17.541973,26.02194,6.59617,21.400177
codex,0.00025,hbf_prefill_p4d4,128k_256k,5368,0.612705,0.401477,1.165064,1.823988,2.312406,5.089458
codex,0.00025,hbf_prefill_p4d4,16k_64k,2625,0.301168,0.130832,0.606014,0.972197,2.030205,4.191228
codex,0.00025,hbf_prefill_p4d4,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.00025,hbf_prefill_p4d4,64k_128k,4892,0.388688,0.228174,0.745642,1.248152,1.932508,4.244245
codex,0.00025,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.00025,hbf_prefill_p4d4,lt_16k,736,5.059522,0.629168,18.863006,27.66456,7.032342,22.783596
codex,0.00025,oracle_infinite_hbm,128k_256k,5368,0.598461,0.399001,1.132432,1.764692,2.297229,5.019604
codex,0.00025,oracle_infinite_hbm,16k_64k,2625,0.250289,0.125712,0.541256,0.866557,1.980399,4.091187
codex,0.00025,oracle_infinite_hbm,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.00025,oracle_infinite_hbm,64k_128k,4892,0.385551,0.225982,0.720659,1.196202,1.930859,4.219364
codex,0.00025,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
